TP9,AF7,AF8,TP10,label
831.6483516,845.3479853,883.2234432,838.4981685,0
927.5457875,838.0952381,898.1318681,951.7216117,0
841.7216117,848.1684982,848.5714286,836.4835165,0
843.7362637,848.5714286,851.3919414,844.9450549,0
845.7509158,853.4065934,842.9304029,846.5567766,0
855.8241758,858.6446886,844.9450549,849.3772894,0
842.9304029,850.989011,855.8241758,857.8388278,0
852.6007326,853.4065934,851.7948718,854.2124542,0
821.1721612,857.4358974,862.2710623,823.1868132,1
844.9450549,863.4798535,845.7509158,840.5128205,1
811.0989011,843.7362637,840.1098901,803.040293,1
854.2124542,846.1538462,882.4175824,871.5384615,1
859.4505495,857.4358974,857.8388278,859.8534799,1
840.1098901,823.1868132,855.4212454,844.9450549,1
850.5860806,886.4468864,857.4358974,853.4065934,1
844.5421245,858.2417582,857.032967,850.5860806,1
848.974359,852.1978022,858.6446886,855.4212454,1
841.3186813,844.9450549,855.4212454,842.5274725,1
831.6483516,835.2747253,853.8095238,840.1098901,1
838.0952381,846.959707,871.9413919,849.7802198,1
844.5421245,869.1208791,851.3919414,843.3333333,1
819.96337,844.9450549,870.7326007,830.8424908,1
842.5274725,846.5567766,859.4505495,844.9450549,1
843.7362637,880.4029304,853.8095238,846.959707,1
840.9157509,818.7545788,864.2857143,849.3772894,1
845.7509158,840.5128205,855.4212454,848.974359,1
847.7655678,877.1794872,855.8241758,845.3479853,1
843.3333333,841.3186813,862.2710623,846.1538462,1
838.9010989,847.3626374,860.6593407,838.9010989,1
849.7802198,863.8827839,857.8388278,848.974359,1
843.3333333,842.1245421,858.2417582,850.1831502,1
845.3479853,848.5714286,854.2124542,848.5714286,1
836.8864469,863.8827839,853.4065934,850.989011,1
848.974359,824.3956044,857.8388278,856.6300366,1
836.0805861,836.0805861,853.8095238,841.7216117,1
843.7362637,857.4358974,861.0622711,846.1538462,1
840.9157509,815.1282051,861.0622711,848.5714286,1
840.5128205,846.959707,855.4212454,846.5567766,1
837.2893773,869.1208791,859.4505495,842.1245421,1
842.5274725,836.0805861,857.032967,848.974359,1
834.4688645,855.4212454,851.7948718,838.0952381,1
840.9157509,859.8534799,854.6153846,840.1098901,1
847.7655678,823.5897436,862.6739927,858.2417582,1
834.4688645,867.1062271,859.4505495,839.7069597,1
861.0622711,855.4212454,853.4065934,863.0769231,1
855.8241758,834.4688645,857.032967,861.4652015,1
872.7472527,863.0769231,849.7802198,882.014652,1
835.6776557,853.8095238,856.2271062,844.1391941,1
835.6776557,876.3736264,850.5860806,833.2600733,1
845.3479853,865.0915751,857.8388278,853.8095238,1
840.5128205,863.8827839,861.4652015,858.2417582,1
839.3040293,825.6043956,851.7948718,840.9157509,1
844.9450549,878.3882784,836.8864469,844.5421245,1
847.3626374,862.2710623,857.4358974,844.5421245,1
842.5274725,828.8278388,860.2564103,848.974359,1
839.7069597,858.2417582,859.4505495,844.9450549,1
844.1391941,854.2124542,857.4358974,853.4065934,1
840.9157509,834.8717949,859.8534799,848.5714286,1
854.6153846,862.6739927,848.5714286,857.032967,1
847.7655678,866.3003663,856.2271062,853.8095238,1
838.4981685,834.8717949,852.6007326,843.7362637,1
848.5714286,865.8974359,848.1684982,860.2564103,1
840.1098901,871.5384615,856.2271062,844.9450549,1
842.5274725,843.7362637,853.8095238,847.7655678,1
840.9157509,862.6739927,851.7948718,842.1245421,1
844.5421245,818.3516484,855.8241758,855.018315,1
848.5714286,836.8864469,859.4505495,851.7948718,1
845.3479853,862.6739927,857.4358974,845.7509158,1
888.0586081,857.8388278,880.8058608,906.5934066,0
836.4835165,845.7509158,856.2271062,845.3479853,0
822.7838828,870.7326007,851.3919414,830.8424908,0
842.5274725,866.3003663,851.3919414,842.9304029,0
840.9157509,839.7069597,862.2710623,852.1978022,0
830.03663,853.4065934,857.8388278,842.1245421,0
846.959707,822.7838828,864.2857143,849.7802198,0
841.3186813,852.6007326,861.4652015,848.974359,0
707.1428571,861.0622711,894.1025641,739.3772894,0
830.8424908,866.3003663,867.9120879,846.959707,0
834.0659341,841.7216117,857.8388278,837.2893773,0
807.4725275,868.3150183,856.6300366,817.5457875,0
